YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1992,-29.46,-43.69,-56.40,-53.21,-59.15,-55.31,-60.22,-60.80,-57.86,-46.87,-39.30,999.90,-33.18,-56.25,-58.78,-48.01,-49.05
1993,-28.74,-42.52,-53.10,-58.83,-57.88,-61.76,-58.41,-64.59,-59.50,-51.05,-38.89,-29.21,-33.37,-56.60,-61.59,-49.81,-50.34
1994,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-52.14,-38.90,999.90,999.90,999.90,999.90,-50.37,999.90
1995,-32.07,-40.82,-52.90,-57.92,-58.19,-58.47,-56.13,-62.01,999.90,-50.10,-38.68,-27.78,-34.19,-56.34,-58.87,-49.24,-49.66
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-36.20,-26.45,999.90,999.90,999.90,999.90,999.90
1997,-28.95,-43.60,-55.44,-56.65,-58.40,-57.85,-65.94,-59.94,-60.50,-55.30,-34.59,-28.30,-33.00,-56.83,-61.24,-50.13,-50.30
1998,-27.80,-38.75,-53.10,-62.40,-58.55,-55.90,-59.40,-63.15,-63.60,-54.94,-37.59,-29.00,-31.62,-58.02,-59.48,-52.04,-50.29
1999,-26.50,-41.55,-54.50,-61.30,-57.60,-58.44,-62.80,-57.25,-62.25,-51.75,-40.00,-32.20,-32.35,-57.80,-59.50,-51.33,-50.24
2000,-31.00,-43.00,-55.10,-61.75,-59.55,-59.85,-60.50,-59.50,-60.95,-50.55,-34.05,-28.15,-35.40,-58.80,-59.95,-48.52,-50.67
2001,-29.70,-39.00,-54.80,-60.20,-58.30,-57.44,-60.75,-63.75,-57.05,-53.40,-35.65,-27.09,-32.28,-57.77,-60.65,-48.70,-49.85
2002,-26.59,-40.55,-49.75,-52.85,-56.30,-62.05,-53.45,-57.70,-57.00,-50.05,-39.44,-30.84,-31.41,-52.97,-57.73,-48.83,-47.73
2003,-27.65,-40.30,-54.25,-56.65,-59.15,-64.30,-63.80,-56.05,-61.95,-51.70,-38.70,-25.00,-32.93,-56.68,-61.38,-50.78,-50.45
2004,-27.35,-38.15,-54.35,-54.40,-58.20,-61.70,-67.19,-61.30,-54.40,-50.05,-39.59,-24.95,-30.17,-55.65,-63.40,-48.01,-49.31
2005,-26.30,-39.75,-51.70,-54.37,-59.35,-59.00,-63.10,-60.40,-52.60,-48.80,-39.20,-24.00,-30.33,-55.14,-60.83,-46.87,-48.29
2006,-28.00,-42.80,-56.20,-55.90,-56.10,-58.40,-65.19,-59.10,-60.30,-56.21,-37.93,-29.70,-31.60,-56.07,-60.90,-51.48,-50.01
